id,meter_id/id,equipment_id/id,date,counter_value
deltatech_service_equipment.reading_01,deltatech_service_equipment.meter_balck,deltatech_service_equipment.equi_test1,2014-01-01,5000
deltatech_service_equipment.reading_02,deltatech_service_equipment.meter_balck,deltatech_service_equipment.equi_test1,2014-02-01,8606
deltatech_service_equipment.reading_03,deltatech_service_equipment.meter_balck,deltatech_service_equipment.equi_test1,2014-03-01,11756
deltatech_service_equipment.reading_04,deltatech_service_equipment.meter_balck,deltatech_service_equipment.equi_test1,2014-04-01,15090
deltatech_service_equipment.reading_05,deltatech_service_equipment.meter_balck,deltatech_service_equipment.equi_test1,2014-05-01,17012
deltatech_service_equipment.reading_06,deltatech_service_equipment.meter_balck,deltatech_service_equipment.equi_test1,2014-06-01,21789
deltatech_service_equipment.reading_07,deltatech_service_equipment.meter_balck,deltatech_service_equipment.equi_test1,2014-07-01,25609
deltatech_service_equipment.reading_08,deltatech_service_equipment.meter_balck,deltatech_service_equipment.equi_test1,2014-08-01,30297
deltatech_service_equipment.reading_09,deltatech_service_equipment.meter_balck,deltatech_service_equipment.equi_test1,2014-09-01,31535
deltatech_service_equipment.reading_10,deltatech_service_equipment.meter_balck,deltatech_service_equipment.equi_test1,2014-10-01,31954
deltatech_service_equipment.reading_11,deltatech_service_equipment.meter_balck,deltatech_service_equipment.equi_test1,2014-11-01,34356
deltatech_service_equipment.reading_12,deltatech_service_equipment.meter_balck,deltatech_service_equipment.equi_test1,2014-12-01,38657
deltatech_service_equipment.reading_13,deltatech_service_equipment.meter_balck,deltatech_service_equipment.equi_test1,2015-01-01,39115
deltatech_service_equipment.reading_14,deltatech_service_equipment.meter_balck,deltatech_service_equipment.equi_test1,2015-02-01,41782
deltatech_service_equipment.reading_15,deltatech_service_equipment.meter_balck,deltatech_service_equipment.equi_test1,2015-03-01,45942
deltatech_service_equipment.reading_16,deltatech_service_equipment.meter_balck,deltatech_service_equipment.equi_test1,2015-04-01,49838
deltatech_service_equipment.reading_17,deltatech_service_equipment.meter_balck,deltatech_service_equipment.equi_test1,2015-05-01,50296
deltatech_service_equipment.reading_18,deltatech_service_equipment.meter_balck,deltatech_service_equipment.equi_test1,2015-06-01,53044
deltatech_service_equipment.reading_19,deltatech_service_equipment.meter_balck,deltatech_service_equipment.equi_test1,2015-07-01,53559
deltatech_service_equipment.reading_20,deltatech_service_equipment.meter_balck,deltatech_service_equipment.equi_test1,2015-08-01,57561
deltatech_service_equipment.reading_21,deltatech_service_equipment.meter_balck,deltatech_service_equipment.equi_test1,2015-09-01,59492
deltatech_service_equipment.reading_22,deltatech_service_equipment.meter_balck,deltatech_service_equipment.equi_test1,2015-10-01,60921
deltatech_service_equipment.reading_23,deltatech_service_equipment.meter_balck,deltatech_service_equipment.equi_test1,2015-11-01,62822
deltatech_service_equipment.reading_24,deltatech_service_equipment.meter_balck,deltatech_service_equipment.equi_test1,2015-12-01,65243
deltatech_service_equipment.reading_25,deltatech_service_equipment.meter_balck,deltatech_service_equipment.equi_test1,2015-12-02,66014
deltatech_service_equipment.reading_26,deltatech_service_equipment.meter_color,deltatech_service_equipment.equi_test1,2014-01-01,43
deltatech_service_equipment.reading_27,deltatech_service_equipment.meter_color,deltatech_service_equipment.equi_test1,2014-02-01,347
deltatech_service_equipment.reading_28,deltatech_service_equipment.meter_color,deltatech_service_equipment.equi_test1,2014-03-01,443
deltatech_service_equipment.reading_29,deltatech_service_equipment.meter_color,deltatech_service_equipment.equi_test1,2014-04-01,778
deltatech_service_equipment.reading_30,deltatech_service_equipment.meter_color,deltatech_service_equipment.equi_test1,2014-05-01,1095
deltatech_service_equipment.reading_31,deltatech_service_equipment.meter_color,deltatech_service_equipment.equi_test1,2014-06-01,1593
deltatech_service_equipment.reading_32,deltatech_service_equipment.meter_color,deltatech_service_equipment.equi_test1,2014-07-01,1643
deltatech_service_equipment.reading_33,deltatech_service_equipment.meter_color,deltatech_service_equipment.equi_test1,2014-08-01,1872
deltatech_service_equipment.reading_34,deltatech_service_equipment.meter_color,deltatech_service_equipment.equi_test1,2014-09-01,1890
deltatech_service_equipment.reading_35,deltatech_service_equipment.meter_color,deltatech_service_equipment.equi_test1,2014-10-01,2119
deltatech_service_equipment.reading_36,deltatech_service_equipment.meter_color,deltatech_service_equipment.equi_test1,2014-11-01,2244
deltatech_service_equipment.reading_37,deltatech_service_equipment.meter_color,deltatech_service_equipment.equi_test1,2014-12-01,2471
deltatech_service_equipment.reading_38,deltatech_service_equipment.meter_color,deltatech_service_equipment.equi_test1,2015-01-01,2801
deltatech_service_equipment.reading_39,deltatech_service_equipment.meter_color,deltatech_service_equipment.equi_test1,2015-02-01,2967
deltatech_service_equipment.reading_40,deltatech_service_equipment.meter_color,deltatech_service_equipment.equi_test1,2015-03-01,3174
deltatech_service_equipment.reading_41,deltatech_service_equipment.meter_color,deltatech_service_equipment.equi_test1,2015-04-01,3262
deltatech_service_equipment.reading_42,deltatech_service_equipment.meter_color,deltatech_service_equipment.equi_test1,2015-05-01,3287
deltatech_service_equipment.reading_43,deltatech_service_equipment.meter_color,deltatech_service_equipment.equi_test1,2015-06-01,3390
deltatech_service_equipment.reading_44,deltatech_service_equipment.meter_color,deltatech_service_equipment.equi_test1,2015-07-01,3617
deltatech_service_equipment.reading_45,deltatech_service_equipment.meter_color,deltatech_service_equipment.equi_test1,2015-08-01,3780
deltatech_service_equipment.reading_46,deltatech_service_equipment.meter_color,deltatech_service_equipment.equi_test1,2015-09-01,3784
deltatech_service_equipment.reading_47,deltatech_service_equipment.meter_color,deltatech_service_equipment.equi_test1,2015-10-01,4171
deltatech_service_equipment.reading_48,deltatech_service_equipment.meter_color,deltatech_service_equipment.equi_test1,2015-11-01,4618
deltatech_service_equipment.reading_49,deltatech_service_equipment.meter_color,deltatech_service_equipment.equi_test1,2015-12-01,5016
deltatech_service_equipment.reading_50,deltatech_service_equipment.meter_color,deltatech_service_equipment.equi_test1,2015-12-02,5140
